"No.","Time","Source","Signal strength (dBm)","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Transmit Beam Forming (TxBF) Capabilities (VS)","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"608461","2017-07-12 13:16:13.436906884","2c:0e:3d:d8:aa:98","-49","3239","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"608464","2017-07-12 13:16:13.457124869","2c:0e:3d:d8:aa:98","-49","3240","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"614471","2017-07-12 13:16:17.990002707","2c:0e:3d:d8:aa:98","-53","3263","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"614474","2017-07-12 13:16:18.010179689","2c:0e:3d:d8:aa:98","-53","3264","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"650941","2017-07-12 13:16:38.777061621","2c:0e:3d:d8:aa:98","-52","3304","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"650952","2017-07-12 13:16:38.797347997","2c:0e:3d:d8:aa:98","-54","3305","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x002d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","50-6f-9a,00-90-4c,00-50-f2,00-10-18"
"652447","2017-07-12 13:16:39.417570983","fc:64:ba:0d:46:19","-54","2746","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","277fffe070b75210bf331968bd54d763","000a0050f2040005","Redmi Note 2","Redmi Note 2","hermes","00372a000120","14122","00-50-f2,50-6f-9a"
"652453","2017-07-12 13:16:39.426315820","fc:64:ba:0d:46:19","-56","2747","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","277fffe070b75210bf331968bd54d763","000a0050f2040005","Redmi Note 2","Redmi Note 2","hermes","00372a000120","14122","00-50-f2,50-6f-9a"
"652516","2017-07-12 13:16:39.480910568","fc:64:ba:0d:46:19","-56","2748","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","277fffe070b75210bf331968bd54d763","000a0050f2040005","Redmi Note 2","Redmi Note 2","hermes","00372a000120","14122","00-50-f2,50-6f-9a"
"652517","2017-07-12 13:16:39.485629332","fc:64:ba:0d:46:19","-57","2749","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates,Vendor Specific,Vendor Specific","","1","277fffe070b75210bf331968bd54d763","000a0050f2040005","Redmi Note 2","Redmi Note 2","hermes","00372a000120","14122","00-50-f2,50-6f-9a"
