"No.","Time","Source","Destination","Length","Signal strength (dBm)","Frame Number","Frequency","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Rx Modulation and Coding Scheme (One bit per modulation)","Antenna Selection (ASEL) Capabilities (VS)","Transmit Beam Forming (TxBF) Capabilities (VS)"
"368","2017-07-02 16:21:53.074304748","BskybLtd_69:2b:aa","Broadcast","110","-91","368","2422","1174","","1(B),2(B),5.5(B),11(B),9,18,36,54","6,12,24,48","0x11ee","0x13","0x0c00","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10)","","",""
"409","2017-07-02 16:21:58.185386130","HuaweiTe_fd:87:ce","Broadcast","295","-89","409","2462","3475","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"410","2017-07-02 16:21:58.189176673","HuaweiTe_fd:87:ce","Broadcast","279","-87","410","2462","3476","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"414","2017-07-02 16:21:58.346723159","SamsungE_ce:74:61","Broadcast","122","-85","414","2437","364","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","",""
"417","2017-07-02 16:21:58.431474678","HuaweiTe_fd:87:ce","Broadcast","295","-87","417","2437","3483","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"418","2017-07-02 16:21:58.493311308","HuaweiTe_fd:87:ce","Broadcast","295","-83","418","2437","3485","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"419","2017-07-02 16:21:58.496821323","HuaweiTe_fd:87:ce","Broadcast","279","-83","419","2437","3486","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"494","2017-07-02 16:22:09.039781128","HuaweiTe_fd:87:ce","Broadcast","295","-85","494","2462","3502","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"496","2017-07-02 16:22:09.046372999","HuaweiTe_fd:87:ce","Broadcast","279","-88","496","2462","3503","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"501","2017-07-02 16:22:09.349348715","HuaweiTe_fd:87:ce","Broadcast","295","-84","501","2437","3512","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"502","2017-07-02 16:22:09.351570839","HuaweiTe_fd:87:ce","Broadcast","279","-83","502","2437","3513","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"581","2017-07-02 16:22:19.896749860","HuaweiTe_fd:87:ce","Broadcast","295","-87","581","2462","3531","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"583","2017-07-02 16:22:19.903307128","HuaweiTe_fd:87:ce","Broadcast","279","-85","583","2462","3532","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"587","2017-07-02 16:22:20.144471255","HuaweiTe_fd:87:ce","Broadcast","295","-88","587","2437","3539","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"588","2017-07-02 16:22:20.206013672","HuaweiTe_fd:87:ce","Broadcast","295","-84","588","2437","3541","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"589","2017-07-02 16:22:20.208185486","HuaweiTe_fd:87:ce","Broadcast","279","-84","589","2437","3542","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"660","2017-07-02 16:22:30.752295522","HuaweiTe_fd:87:ce","Broadcast","295","-84","660","2462","3558","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
