"No.","Time","Source","Signal strength (dBm)","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Transmit Beam Forming (TxBF) Capabilities (VS)","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"64068","2017-07-12 12:31:32.374841625","c0:ee:fb:5e:49:36","-36","2103","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64072","2017-07-12 12:31:32.384774826","c0:ee:fb:5e:49:36","-37","2104","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64076","2017-07-12 12:31:32.394666493","c0:ee:fb:5e:49:36","-35","2105","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64082","2017-07-12 12:31:32.412887015","c0:ee:fb:5e:49:36","-39","2106","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64083","2017-07-12 12:31:32.414583439","c0:ee:fb:5e:49:36","-39","2107","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64088","2017-07-12 12:31:32.432738049","c0:ee:fb:5e:49:36","-45","2108","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64089","2017-07-12 12:31:32.434556686","c0:ee:fb:5e:49:36","-46","2109","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64097","2017-07-12 12:31:32.503187790","c0:ee:fb:5e:49:36","-67","2114","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64100","2017-07-12 12:31:32.508595352","c0:ee:fb:5e:49:36","-68","2115","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64109","2017-07-12 12:31:32.553488334","c0:ee:fb:5e:49:36","-82","2118","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64112","2017-07-12 12:31:32.565130824","c0:ee:fb:5e:49:36","-82","2120","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"64116","2017-07-12 12:31:32.574959691","c0:ee:fb:5e:49:36","-83","2121","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
