"No.","Time","Source","Destination","Signal strength (dBm)","Frequency","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Rx Modulation and Coding Scheme (One bit per modulation)","Antenna Selection (ASEL) Capabilities (VS)","Transmit Beam Forming (TxBF) Capabilities (VS)","Frequency","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"768","2017-07-02 16:22:42.225639288","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-86","2412","3605","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"769","2017-07-02 16:22:42.227900348","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-86","2412","3606","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"810","2017-07-02 16:22:47.847636163","7c:11:cb:cf:32:2d","ff:ff:ff:ff:ff:ff","-90","2452","2570","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,DS Parameter set,Extended Supported Rates","","","","2452","9","","","","","","","",""
"811","2017-07-02 16:22:47.868743353","7c:11:cb:cf:32:2d","ff:ff:ff:ff:ff:ff","-80","2452","2571","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,DS Parameter set,Extended Supported Rates","","","","2452","9","","","","","","","",""
"840","2017-07-02 16:22:52.463652971","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-86","2462","3612","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"841","2017-07-02 16:22:52.467207693","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2462","3613","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"846","2017-07-02 16:22:52.710221080","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-89","2437","3620","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"847","2017-07-02 16:22:52.712468831","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-86","2437","3621","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"848","2017-07-02 16:22:52.772045806","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2437","3622","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"849","2017-07-02 16:22:52.775450082","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-83","2437","3623","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"861","2017-07-02 16:22:53.081302991","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-88","2412","3632","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"862","2017-07-02 16:22:53.083558533","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-92","2412","3633","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"924","2017-07-02 16:23:03.318619527","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-83","2462","3640","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"927","2017-07-02 16:23:03.325954814","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-82","2462","3641","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"931","2017-07-02 16:23:03.566148915","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2437","3648","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"937","2017-07-02 16:23:03.936475819","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2412","3660","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"938","2017-07-02 16:23:03.938735152","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2412","3661","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"977","2017-07-02 16:23:07.728528142","7c:11:cb:cf:32:2d","ff:ff:ff:ff:ff:ff","-78","2412","2580","BT ITINTES OO6988","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,DS Parameter set,Extended Supported Rates","","","","2412","1","","","","","","","",""
"1015","2017-07-02 16:23:14.174056524","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2462","3667","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1018","2017-07-02 16:23:14.181490414","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-82","2462","3668","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1022","2017-07-02 16:23:14.421795407","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-89","2437","3675","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1023","2017-07-02 16:23:14.423932470","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-87","2437","3676","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1028","2017-07-02 16:23:14.792811343","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2412","3687","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1029","2017-07-02 16:23:14.795046758","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-87","2412","3688","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1112","2017-07-02 16:23:25.030148220","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2462","3694","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1113","2017-07-02 16:23:25.033708465","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-83","2462","3695","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1117","2017-07-02 16:23:25.277348456","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-81","2437","3702","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1118","2017-07-02 16:23:25.279600940","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-82","2437","3703","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1123","2017-07-02 16:23:25.648458846","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-88","2412","3714","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1200","2017-07-02 16:23:36.135587290","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-83","2437","3730","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1206","2017-07-02 16:23:36.503497315","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-88","2412","3741","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1207","2017-07-02 16:23:36.505738662","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-88","2412","3742","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1287","2017-07-02 16:23:47.358142497","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-89","2412","3768","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1288","2017-07-02 16:23:47.360335332","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-88","2412","3769","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1364","2017-07-02 16:23:58.214187853","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2412","3795","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1365","2017-07-02 16:23:58.216444243","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-88","2412","3796","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2412","1","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1434","2017-07-02 16:24:08.279818836","ec:23:3d:fd:87:ce","30:39:f2:94:c2:53","-84","2462","3802","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1457","2017-07-02 16:24:09.214463360","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2442","3815","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2442","7","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1458","2017-07-02 16:24:09.216720605","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-83","2442","3816","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2442","7","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1459","2017-07-02 16:24:09.276307555","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-87","2442","3817","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2442","7","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1460","2017-07-02 16:24:09.526111581","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-90","2472","3826","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2472","13","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1461","2017-07-02 16:24:09.585619929","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-89","2472","3827","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2472","13","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1462","2017-07-02 16:24:09.587874694","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-88","2472","3828","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2472","13","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1505","2017-07-02 16:24:15.383070243","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-86","2462","3838","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1511","2017-07-02 16:24:15.685729737","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2437","3847","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1512","2017-07-02 16:24:15.687874739","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2437","3848","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1556","2017-07-02 16:24:20.644733901","7c:11:cb:cf:32:2d","ff:ff:ff:ff:ff:ff","-80","2417","2638","balli.2017","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,DS Parameter set,Extended Supported Rates","","","","2417","2","","","","","","","",""
"1595","2017-07-02 16:24:26.510842112","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-89","2437","3878","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1596","2017-07-02 16:24:26.513087216","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-86","2437","3879","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1600","2017-07-02 16:24:26.882447257","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2467","3890","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2467","12","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1601","2017-07-02 16:24:26.884618706","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2467","3891","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2467","12","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"1603","2017-07-02 16:24:26.944346084","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2467","3892","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2467","12","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
